title,description,subjects
Epitaph for a Spy,"When Josef Vadassy arrives at the Hotel de la Reserve at the end of his Riviera holiday, he is simply looking forward to a few more days of relaxation before returning to Paris. But in St. Gatien, on the eve of World War II, everyone is suspect–the American brother and sister, the expatriate Brits, and the German gentleman traveling under at least one assumed name. When the film he drops off at the chemist reveals photographs he has not taken, Vadassy finds himself the object of intense suspicion. The result is anything but the rest he had been hoping for.",['thriller']
I Spy,"The allied forces, English and French, had been bent backward day by day, until it seemed as if Paris was fairly within the Germans' grasp. Bent indeed, but never broken, and with the turning of the tide the Allied line had rushed forward, and France breathed again.",['thriller']
The Husband,"Mitch Rafferty has just sixty hours to save his wife.A suspense novel – and love story – from one of the most acclaimed and popular authors of modern times.What would you do for love? Would you die? Would you kill?Landscape gardener Mitchell Rafferty was busy planting beds of impatiens for one of his clients when his phone rang. It was a voice he didn't know. 'We have your wife. You can get her back for two million cash.'Now he's standing in a normal suburban neighbourhood on a bright summer day having a phone conversation out of his darkest nightmare.Mitch thinks it must be some kind of a joke. But whoever is on the other end of the line is dead serious. 'See that guy across the street?'Rifle fire shatters the stilllness as the man goes down, shot in the head. 'An object lesson.'The caller doesn't care that Mitch has no way of raising such a vast sum. He's confident that Mitch will find a way. 'If he loves his wife enough.'Mitch does love her enough. He's got sixty hours to prove it. He'll pay anything. He'll pay a lot more than two million dollars.A story of love, tenacity and courage with the pace of a runaway train, from its tense opening to its shattering climax, 'The Husband' is a thriller that holds the reader in its relentless grip.",['thriller']
In Kedar's tents,"If it be a duty to respect other men's claims, so also is it a duty to maintain our own.'",['thriller']
Die Trying,"When a woman is kidnapped, Jack Reacher's in the wrong place at the wrong time. He's kidnapped with her. Now he has to save them both.",['thriller']
Where Eagles Dare,"One winter night, seven men and a woman are parachuted onto a mountainside in wartime Germany. Their objective: an apparently inaccessible castle, headquarters of the Gestapo. Their mission: to rescue a crashed American general before the Nazi interrogators can force him to reveal secret D-Day plans.",['thriller']
The Ipcress File,"Len Deighton's classic first novel, whoseprotagonist is a nameless spy – later christened Harry Palmer and made famous worldwide in the iconic 1960s film starring Michael Caine.The Ipcress File was not only Len Deighton's first novel, it was his first bestseller and the book that broke the mould of thriller writing.For the working class narrator, an apparently straightforward mission to find a missing biochemist becomes a journey to the heart of a dark and deadly conspiracy.The film of The Ipcress File gave Michael Caine one of his first and still most celebrated starring roles, while the novel itself has become a classic.",['thriller']
Het Diner,Het diner is een roman uit 2009 van de Nederlandse auteur Herman Koch. Het diner gaat over vier ouders (twee broers en hun echtgenoten) wier loyaliteit jegens hun kinderen op de proef wordt gesteld wanneer blijkt dat die een misdaad op hun geweten hebben: in hoeverre mag je je kinderen blijven beschermen?,['thriller']
Den femte kvinnan,"In an African convent, four nuns and a unidentified fifth woman are brutally murdered--the death of the unknown woman covered up by the local police. A year later in Sweden, Inspector Kurt Wallander is baffled and appalled by two murders. Holger Eriksson, a retired car dealer and bird watcher, is impaled on sharpened bamboo poles in a ditch behind his secluded home, and the body of a missing florist is discovered--strangled and tied to a tree. The only clues Wallander has to go on are a skull, a diary, and a photo of three men. What ensues is a case that will test Wallander’s strength and patience, because in order to discover the reason behind these murders, he will also need to uncover the elusive connection between these deaths and the earlier unsolved murder in Africa of the fifth woman. 

from Goodreads",['thriller']
The Quickie,"Lauren Stillwell is not your average damsel in distress. When the NYPD cop discovers her husband leaving a hotel with another woman, she decides to beat him at his own game. But her revenge goes dangerously awry, and she finds her world spiraling into a hell that becomes more terrifying by the hour.In a further twist of fate, Lauren must take on a job that threatens everything she stands for. Now, she's paralyzed by a deadly secret that could tear her life apart. With her job and marriage on the line, Lauren's desire for retribution becomes a lethal inferno as she fights to save her livelihood--and her life.Patterson takes us on a twisting roller-coaster ride of thrills in his most gripping novel yet. This story of love, lust and dangerous secrets will have readers' hearts pounding to the very last page.",['thriller']
"The Surgeon (Jane Rizzoli, Book 1)","If it's gripping, it's Gerritsen. The terrifying first Jane Rizzoli bestseller.In Boston, there's a killer on the loose. A killer who targets lone women, who breaks into their apartments and performs terrifying ritualistic acts of torture on them before finishing them off. His surgical skills lead police to suspect he is a physician – a physician who, instead of saving lives, takes them.But as homicide detective Thomas Moore and his partner Jane Rizzoli begin their investigation, they make a startling discovery. Closely linked to these killings is Catherine Cordell, a beautiful medic with a mysterious past. Two years ago she was subjected to a horrifying rape and attempted murder but she shot her attacker dead. Now she is being targeted by the new killer who seems to know all about her past, her work, and where she lives.The man she believes she killed seems to be stalking her once again, and this time he knows exactly where to find her...",['thriller']
Overload,"In the middle of a sweltering July heat wave that has no end in sight, California’s Golden State Power and Light is on overload. An emergency brownout is already in effect. Then, GSP&L’s newest and largest generator explodes. With four people dead and a widespread loss of power, a fringe group takes responsibility. But for GSP&L vice president Nim Goldman and his family; his adversary, investigative reporter Nancy Molineaux; detective Harry London; and beautiful quadriplegic Karen Sloan, whose every breath depends on electric power, the terror is just beginning . . .

A dramatic and timely story of the people and the events leading to a crisis, Overload presents a fascinating view of the little-known world of electric power production that is vital to contemporary life.",['thriller']
Echo Burning,"Ex-military cop Jack Reacher returns in this latest in the award-winning series critics call ""spectacular"" (The Seattle Times), ""relentless"" (Denver Post), and ""perfect"" (The New York Times Book Review).

Reacher is hitching through the heat of West Texas and getting desperate for a ride. The last thing he's worried about is exactly who picks him up.

She's called Carmen. She's a good-looking young woman, she has a beautiful little girl...and she has married into the wrong family. They're called the Greers. They're a bitter and miserly clan, and they've made her life a living hell. Worse, her monster of a husband is soon due out of prison. So she needs protection, and she needs it now.

Lawyers can't help. Cops can't be trusted. So Reacher goes home with her to the lonely ranch where nothing is as it seems and where evil swirls around them like dust in a storm. Within days, Carmen's husband is dead-and simmering secrets send Echo, Texas, up in flames.",['thriller']
Private,"*The police can't help you*
Former CIA agent Jack Morgan runs Private, a renowned investigation company with branches around the globe. It is where you go when you need maximum force and maximum discretion. The secrets of the most influential men and women on the planet come to Jack daily--and his staff of investigators uses the world's most advanced forensic tools to make and break their cases.

*The press will destroy you*
Jack is already deep into the investigation of a multi-million dollar NFL gambling scandal and the unsolved slayings of 18 schoolgirls when he learns of a horrific murder close to home: his best friend's wife, Jack's former lover, has been killed. It nearly pushes him over the edge. Instead, Jack pushes back and devotes all of Private's resources to tracking down her killer.

*Only one place to turn: Private* 
But Jack doesn't have to play by the rules. As he closes in on the killer and chooses between revenge and justice, Morgan has to navigate a workplace love affair that threatens to blow the roof off his plans. With a plot that moves at death-defying speeds, Private is James Patterson sleekest, most exciting thriller ever.",['thriller']
Finders Keepers,"Overview: Wake up, genius. So announces deranged fan Morris Bellamy to iconic author John Rothstein, who once created the famous character Jimmy Gold and hasn't released anything since. Morris is livid, not just because his favorite writer has stopped publishing, but because Jimmy Gold ended up as a sellout. Morris kills his idol and empties his safe of cash, but the real haul is a collection of notebooks containing John Rothstein's unpublished work - including at least one more Jimmy Gold novel. Morris hides everything away before being locked up for another horrific crime. But upon Morris's release thirty-five years later, he's about to discover that teenager Pete Saubers has already found the stolen treasure-and no one but former police detective Bill Hodges, along with his trusted associates Holly Gibney and Jerome Robinson, stands in the way of his vengeance.",['thriller']
Dark Places,"Libby Day tinha apenas sete anos quando testemunhou o brutal assassinato da mãe e das duas irmãs na fazenda da família. O acusado do crime foi seu irmão mais velho, que acabou condenado à prisão perpétua.

Desde aquele dia, Libby passou a viver sem rumo. Uma vida paralisada no tempo, sem amigos, família ou trabalho. Mas, vinte e quatro anos depois, quando é procurada por um grupo de pessoas convencidas da inocência de seu irmão, Libby começa a se fazer as perguntas que até então nunca ousara formular. Será que a voz que ouviu naquela noite era mesmo a do irmão? Ben era considerado um desajustado na pequena cidade em que viviam, mas ele seria mesmo capaz de matar? Existiria algum segredo por trás daqueles assassinatos?

Gillian Flynn intercala a trajetória detetivesca de Libby com flashbacks dos acontecimentos do dia dos crimes com tanta habilidade que o leitor é levado a diferentes direções. Escrito com primor, Lugares escuros não só mostra como a memória é passível de falhas, mas também evidencia as mentiras que uma criança pode contar a si mesma para superar um trauma.",['thriller']
NEVER GO BACK,"""Never go back--but Jack Reacher does, and the past finally catches up with him. Never Go Back is #1 New York Times bestselling author Lee Child's new novel of action-charged suspense starring ""one of the best thriller characters at work today"" (Newsweek). Former military cop Jack Reacher makes it all the way from snowbound South Dakota to his destination in northeastern Virginia, near Washington, D.C.: the headquarters of his old unit, the 110th MP. The old stone building is the closest thing to a home he ever had. Reacher is there to meet--in person--the new commanding officer, Major Susan Turner, so far just a warm, intriguing voice on the phone. But it isn't Turner behind the CO's desk. And Reacher is hit with two pieces of shocking news, one with serious criminal consequences, and one too personal to even think about. When threatened, you can run or fight. Reacher fights, aiming to find Turner and clear his name, barely a step ahead of the army, and the FBI, and the D.C. Metro police, and four unidentified thugs. Combining an intricate puzzle of a plot and an exciting chase for truth and justice, Lee Child puts Reacher through his paces--and makes him question who he is, what he's done, and the very future of his untethered life on the open road. Praise for #1 bestselling author Lee Child and his Jack Reacher series ""Child is a superb craftsman of suspense.""--Entertainment Weekly ""The truth about Reacher gets better and better.""--Janet Maslin, The New York Times""--",['thriller']
Sharp Objects,"WICKED above her hipbone, GIRL across her heart Words are like a road map to reporter Camille Preaker's troubled past. Fresh from a brief stay at a psych hospital, Camille's first assignment from the second-rate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls.NASTY on her kneecap, BABYDOLL on her legSince she left town eight years ago, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eerie grip on the town. Now, installed again in her family's Victorian mansion, Camille is haunted by the childhood tragedy she has spent her whole life trying to cut from her memory.HARMFUL on her wrist, WHORE on her ankleAs Camille works to uncover the truth about these violent crimes, she finds herself identifying with the young victims--a bit too strongly. Clues keep leading to dead ends, forcing Camille to unravel the psychological puzzle of her own past to get at the story. Dogged by her own demons, Camille will have to confront what happened to her years before if she wants to survive this homecoming.With its taut, crafted writing, Sharp Objects is addictive, haunting, and unforgettable.From the Hardcover edition.",['thriller']
Atlantis Found,"An Antarctic whaler stumbles across an aged wreck—her frozen crew guarding a priceless treasure.

A team of anthropologists is buried under a mountain by a deliberate explosion.

A ship that should have died fifty-six years ago reappears, and almost sinks a National Underwater and Marine Agency ship.

Dirk Pitt knows that somehow these events are connected. His investigations lead to an ancient mystery with devastating modern consequences, and a diabolical enemy unlike any he has ever known. Now, he is racing to save not only his life—but the world. The trap is set. The clock is ticking. And only one man stands between the earth and Armageddon…",['thriller']
The Associate,"The latest legal thriller from international number one bestselling author John GrishamIt's a deadly game of blackmail. And they're making him play. Kyle McAvoy is one of the outstanding legal students of his generation: he's good looking, has a brilliant mind and a glittering future ahead of him. But he has a secret from his past, a secret that threatens to destroy his fledgling career and, possibly, his entire life. One night that secret catches up with him in the form of some bad men in a dark alley — they have a deeply compromising video of the incident that haunts him. The men make it clear to Kyle that he no longer owns his own future — that he must do as they tell him, or the video will be made public knowledge, with all the unpleasant consequences. What price do they demand for Kyle's secret? Strangely, it is for Kyle to do exactly what any ambitious young lawyer would want to do: take a job in New York as an associate at the largest law firm in the world , a job that is incredibly well paid and, with mammoth hours and outrageous billing, could lead to partnership and a fortune. But Kyle won't be working for the company, but against it — passing on the secrets of the company's biggest trial to date, a dispute between two defense contractors worth billions of dollars to the victor. Now Kyle is caught between the criminal forces manipulating him and the FBI, who would love to unmask the conspiracy. Will his intellect, cunning and bravery be enough to extricate him from an impossible dilemma? Full of twists and turns and reminiscent of The Firm, The Associate is vintage John Grisham.",['thriller']
Swimsuit,"THE BEACH...A breathtakingly beautiful supermodel disappears from a swimsuit photo shoot at the most glamorous hotel in Hawaii. Only hours after she goes missing, Kim McDaniels's parents receive a terrifying phone call. Fearing the worst, they board the first flight to Maui and begin the hunt for their daughter....WILL NEVER BE...Ex-cop Ben Hawkins, now a reporter for the L.A. Times, gets the McDaniels assignment. The ineptitude of the local police force defies belief--Ben has to start his own investigation for Kim McDaniels to have a prayer. And for Ben to have the story of his life....THE SAME FOR YOU AGAIN.All the while, the killer sets the stage for his next production. His audience expects the best--and they won't be disappointed. Swimsuit is a heart-pounding story of fear and desire, transporting you to a place where beauty and murder collide and unspeakable horrors are hidden within paradise.",['thriller']
Shattered,"When jockey Martin Stukely dies following a fall at Cheltenham races, he accidentally embroils his friend Gerard Logan in a perilous search for a stolen video tape. Logan is a glass-blower on the verge of widespread acclaim for the ingenuity of his work. Long accustomed to the frightful dangers inherent in molten glass and in maintaining a furnace at never less than 1,800F, he is suddenly faced with a series of terrifying threats to his business and to his life.But the chilling race to find the tape throws more hazards in Logan's way than his dead jockey friend could ever have imagined.",['thriller']
The Blue Ice,"Ten years after George Farnell's disappearance, two lines of poetry and a lump of mineral ore are found. It's enough to send mineral expert Bill Gansert to Norway. But word of his findings has leaked out and Gansert finds himself caught in a maze of ambition and treachery.",['thriller']
The Fourth Estate,"Richard Armstrong narrowly escaped Hitler's atrocities in Eastern Europe on his courage and his wits—skills that served him well in peacetime. Having turned a struggling Berlin newspaper into a success story seemingly overnight, Armstrong made a name for himself—and more than a few enemies along the way…

Meanwhile, young Keith Townsend enters the international arena, armed with a world-class education and a sense of entitlement to match. Charged with growing his father's newspaper business into a global media force, he and Armstrong are bound to become sworn rivals—until they arrive at the edge of collapse and will do whatever it takes to stay alive in the game…or die trying.",['thriller']
Sail,"Since the death of her husband, Anne Dunne and her three children have struggled in every way.  In a last ditch effort to save the family, Anne plans an elaborate sailing vacation to bring everyone together once again.  But only an hour out of port, everything is going wrong.  The teenage daughter, Carrie, is planning to drown herself.  The teenage son, Mark, is high on drugs and ten-year-old Ernie is nearly catatonic.  This is the worst vacation ever.Anne manages to pull things together bit by bit, but just as they begin feeling like a family again, something catastrophic happens.  Survival may be the least of their concerns. Written with the blistering pace and shocking twists that only James Patterson can master, SAIL takes ""Lost"" and ""Survivor"" to a new level of terror.",['thriller']
From Doon with Death,"Dazzling psychological suspense. Razor-sharp dialogue. Plots that catch and hold like a noose. These are the hallmarks of crime legend Ruth Rendell, “the best mystery writer in the English-speaking world” (Time magazine). From Doon with Death, now in a striking new paperback edition, is her classic debut novel -- and the book that introduced one of the most popular sleuths of the twentieth century.

There is nothing extraordinary about Margaret Parsons, a timid housewife in the quiet town of Kingsmarkham, a woman devoted to her garden, her kitchen, her husband. Except that Margaret Parsons is dead, brutally strangled, her body abandoned in the nearby woods.",['thriller']
The Adventures of Captain Horn,"Early in the spring of the year 1884 the three-masted schooner Castor, from San Francisco to Valparaiso, was struck by a tornado off the coast of Peru. The storm, which rose with frightful suddenness, was of short duration, but it left the Castor a helpless wreck. Her masts had snapped off and gone overboard, her rudder-post had been shattered by falling wreckage, and she was rolling in the trough of the sea, with her floating masts and spars thumping and bumping her sides.",['thriller']
Run for your life,"A calculating killer who calls himself The Teacher is taking on New York City  , killing the powerful and the arrogant. His message is clear: remember your manners or suffer the consequences! For some, it seems that the rich are finally getting what they deserve. For New York  's elite, it is a call to terror. Only one man can tackle such a high-profile case: Detective Mike Bennett. The pressure is enough for anyone, but Mike also has to care for his 10 children-all of whom have come down with virulent flu at once! Discovering a secret pattern in The Teacher's lessons, Detective Bennett realizes he has just hours to save New York   from the greatest disaster in its history. From the #1 bestselling author comes RUN FOR YOUR LIFE, the continuation of his newest, electrifying series.",['thriller']
A Tan and Sandy Silence (Travis McGee Mysteries),Travis McGee #13,['thriller']
Assassini,"Mientras el Papa agoniza, se producen una serie de misteriosos asesinatos, un ex-jesuita y una monja averiguan estrategias políticas inconfesables, confabulaciones que desde tiempos de los Borgia se dan en la Iglesia Católica",['thriller']
Nothing to lose,"Two lonely towns in Colorado: Hope and Despair. Between them, twelve miles of empty road. Jack Reacher never turns back. It's not in his nature. All he wants is a cup of coffee. What he gets is big trouble. So in Lee Child's electrifying new novel, Reacher--a man with no fear, no illusions, and nothing to lose--goes to war against a town that not only wants him gone, it wants him dead. It wasn't the welcome Reacher expected. He was just passing through, minding his own business. But within minutes of his arrival a deputy is in the hospital and Reacher is back in Hope, setting up a base of operations against Despair, where a huge, seething walled-off industrial site does something nobody is supposed to see . . . where a small plane takes off every night and returns seven hours later . . . where a garrison of well-trained and well-armed military cops--the kind of soldiers Reacher once commanded--waits and watches . . . where above all two young men have disappeared and two frightened young women wait and hope for their return.Joining forces with a beautiful cop who runs Hope with a cool hand, Reacher goes up against Despair--against the deputies who try to break him and the rich man who tries to scare him--and starts to crack open the secrets, starts to expose the terrifying connection to a distant war that's killing Americans by the thousand.Now, between a town and the man who owns it, between Reacher and his conscience, something has to give. And Reacher never gives an inch.From the Hardcover edition.",['thriller']
Second wind,"Perry Stuart, TV meteorologist, chiefly predicts periods of English drizzle, with bursts of heavier rain and sunshine to follow. His life calm and ordered, his face familiar to every British household, Stuart's profound weather knowledge and accuracy have given him high status among forecasters, but no physical baptism by storm.Not, that is, until a fellow forecaster offers him a Caribbean hurricane-chasing ride in a small aeroplane as a holiday diversion. By frightening accident, Stuart learns more secrets from the flight than wind speeds – and back home in England he faces threats and danger as deadly as anything that nature can evolve.'Second Wind' is a twisting spiralling hurricane of a thriller that will defy anyone to treat the weather as an everyday topic of conversation.",['thriller']
SS-GB,"For nine months Britain has been occupied - a blitzed, depressed and dingy country. However, it's 'business as usual' at Scotland Yard run by the SS when Detective Inspector Archer is assigned to a routine murder case. Life must go on.But when SS Standartenfuhrer Huth arrives from Berlin with orders from the great Himmler himself to supervise the investigation, the resourceful Archer finds himself caught up in a high level, all action, espionage battle. This is a spy story quite different from any other. Only Deighton, with his flair for historical research and his narrative genius, could have written it.",['thriller']
Forever Odd,"The follow-up novel to Odd Thomas, from worldwide bestselling author, Dean Koontz.Odd Thomas, that unlikely hero, once more stands between us and our worst fears.Odd never asked to communicate with the dead – they sought him out. As the unofficial goodwill ambassador between our world and theirs, he has a duty to do the right thing. That’s the way Odd sees it, and that’s why he has already won over hearts on both sides of the great divide. For though Odd lives in the small desert town of Pico Mundo, he stands between two worlds, and for him the heroic and the harrowing are everyday occurrences.A childhood friend of Odd’s has disappeared and the worst is feared. But as Odd applies his unique talents to the task of finding the missing person, he discovers something worse than a dead body.New allies and new enemies gather around Odd, some living and some not. But the enemy he encounters is unspeakably cunning, and every sacrifice is needed to tip the balance between despair and hope as a life-changing revelation rushes towards us. In the battle to come, there can be no innocent bystanders …",['thriller']
La nuit du carrefour,"A classic among Simenons, this is the story of Maigret's night vigil at the Three Widows' Crossroads, where the body of a Jewish diamond-merchant had been found. Pompous M. Michonnet, at one house, owned the car containing the corpse; aristocratic Carl Andersen, the Dane, owned the garage containing the car; and vulgar M. Oscar, at the service-station, simply sold petrol to all-comers. None of them knew a thing. Then the victim's widow is shot dead at Maigret's feet, and he plunges into action to uncover a tight little criminal web with a woman at the center of it.",['thriller']
The Taking,"The new thriller from Dean Koontz is a novel of stunning suspense and visceral terror as doomsday dawns.On the morning that will mark the end of the world they have known, Molly and Niel Sloan awaken to the drumbeat of rain. It has haunted their dreams through the night, and now they find an eerily luminous and silver downpour that drenches their small Californian mountain town.As hours pass they hear news of extreme weather phenomena across the globe. An obscuring fog turns once familiar streets into a ghostly labyrinth. By evening, the town has lost all communication with the outside world. First TV and radio go dead, then the Internet and phone lines. The young couple gathers together with some neighbours, sensing a threat they cannot identify or even imagine.The night brings strange noises, and mysterious lights drift among the trees. The rain diminishes with the dawn but a moody grey-purple twilight prevails. Within the misty gloom the small band will encounter something that reveals in a terrifying instant what is happening to the world – something that is hunting them with ruthless efficiency.Epic in scope, searingly intimate and immediate in its perspective, The Taking is a story of a strangely changed and changing world as apocalypse comes to Main Street.",['thriller']
Fear Is the Key,"A classic novel of ruthless revenge set in the steel jungle of an oil rig in the Gulf of Mexico – and on the sea bed below it. Now reissued in a new cover style.A sunken DC-3 lying on the Caribbean floor. Its cargo: ten million, two hundred and fifty thousand dollars in gold ingots, emeralds and uncut diamonds guarded by the remains of two men, one woman and a very small boy. The fortune was there for the taking, and ready to grab it were a blue-blooded oilman with his own offshore rig, a gangster so cold and independent that even the Mafia couldn't do business with him and a psychopathic hired assassin. Against them stood one man, and those were his people, those skeletons in their watery coffin. His name was Talbot, and he would bury his dead – but only after he had avenged their murders.",['thriller']
Bones in London,"The new Managing Director of Schemes Ltd has an elegant London office and a theatrically dressed assistant - however Bones, as he is better known, is bored. Luckily there is a slump in the shipping market and it is not long before Joe and Fred Pole pay Bones a visit. They are totally unprepared for Bones' unnerving style of doing business, unprepared for his unique style of innocent and endearing mischief.",['thriller']
Firewall -- Canadian Book Club,"All freelances have problems when work dries up, but Nick Stone, hero of Andy McNab's second adventure thriller Firewall has worse problems than most of us. Expensively trained by the SAS, he now works for British Intelligence as a deniable operative, and he needs a regular income to take care of his responsibilities, which include psychiatric care for a traumatised orphan. He takes a lucrative mercenary job kidnapping a leading Chechen Mafioso; when the job goes sour, his victim is impressed by his grace under pressure and hires him to baby-sit a computer espionage expert on a jaunt into Finland. Not all is as it seems--Nick was engaged in wishful thinking to believe it was--and he finds himself adrift with little money and no weapons in Estonia in the dead of winter with a friend to rescue, the interests of the West to retrieve and, if possible, money to earn... This is an effective thriller because of the clash between its hero's competence and his less than entire brightness--Nick gets himself into messes and then gets out of them because of skills in combat, disguise and survival. This is a book filled with adrenaline-pumping excitement and a sense of bitterly cold places.",['thriller']
Mademoiselle of Monte Carlo,"""Yes! I'm not mistaken at all! It's the same woman!"" whispered the tall, good-looking young enman in a well-cut navy suit as he stood with his friend, a man some ten years older than himself, at one of the roulette tables at Monte Carlo, the first on the right on entering the room - that one known to habitual gamblers as ""The Suicide's Table.""",['thriller']
Le pendu de Saint-Pholien,"First published as *Le Pendu de St Pholien*, this early Simenon records how Maigret unwittingly drove a little man to suicide. You'd have said that Louis Jeunet was a down-at-heel layabout, but he was packeting up over 30,000 francs when Maigret first spotted him in Brussels. When he posted the money, unregistered, as 'Printed Matter', Maigret followed him for fun. He took a train for the north. At the German frontier Maigret switched suitcases, in a spirit of idle curiosity, but when Jeunet discovered his loss at Bremen he took out a gun and shot himself, and Maigret was left to cope with his own culpability. His subsequent inquiries provoked two attempts on his life and eventually led to Liege, Simenon's birthplace, where in a crazy slum he taps the source of a macabre story which is reminiscent of Francois Villon.",['thriller']
You've Been Warned,"Kristin Burns has lived her life by the philosophy, ‘don’t think, just shoot’ – pictures that is. Struggling to make ends meet, she works full time as nanny to the fabulously wealthy Turnbull family, looking after their two children and waiting for her life as a New York fashion photographer to begin.

But Kristin has a major distraction: forbidden love. The man of her dreams is almost hers for keeps. Breathless with an inexhaustible passion and the excitement of being within reach of everything she wants, Kristin ignores all signs of catastrophe brewing.

Fear exists for a reason. And Kristin can only dismiss the warnings for so long. Searching desperately for the truth through the lens of her camera she can only hope that it’s not too late",['thriller']
Funeral in Berlin,"A ferociously cool Cold War thriller from the author of The Ipcress File.Len Deighton's third novel has become a classic, as compelling and suspenseful now as when it first exploded on to the bestseller lists.In Berlin, where neither side of the wall is safe, Colonel Stok of Red Army Security is prepared to sell an important Russian scientist to the West – for a price. British intelligence are willing to pay, providing their own top secret agent is in Berlin to act as go-between. But it soon becomes apparent that behind the facade of an elaborate mock funeral lies a game of deadly manoeuvres and ruthless tactics. A game in which the blood-stained legacy of Nazi Germany is enmeshed in the intricate moves of cold war espionage...",['thriller']
An Unkindness of Ravens,UNKINDNESS: the collective word for a group of ravens. UNKINDNESS: the collective word for a group of ravens. They are not particularly predatory birds. . . but neither are they soft and submissive. Detective Chief Inspector Wexford thought he was merely doing a neighbourly good deed when he agreed to talk to Joy Williams about her missing husband. And he certainly didn't expect to be investigating a most unusual homicide.,['thriller']
Gone tomorrow,"New York City.  Two in the morning.   A subway car heading uptown.  Jack Reacher, plus five other passengers.  Four are okay.  The fifth isn't.  In the next few tense seconds Reacher will make a choice--and trigger an electrifying chain of events in this gritty, gripping masterwork of suspense by #1 New York Times bestseller Lee Child. Susan Mark was the fifth passenger.  She had a lonely heart, an estranged son, and a big secret.  Reacher, working with a woman cop and a host of shadowy feds, wants to know just how big a hole Susan Mark was in, how many lives had already been twisted before hers, and what danger is looming around him now.  Because a race has begun through the streets of Manhattan in a maze crowded with violent, skilled soldiers on all sides of a shadow war.  Susan Mark's plain little life was critical to dozens of others in Washington, California, Afghanistan . . . from a former Delta Force operator now running for the U.S. Senate, to a beautiful young woman with a fantastic story to tell--and to a host of others who have just one thing in common: They're all lying to Reacher.  A little. A lot. Or maybe just enough to get him killed.  In a novel that slams through one hairpin surprise after another, Lee Child unleashes a thriller that spans three decades and gnaws at the heart of America . . . and for Jack Reacher, a man who trusts no one and likes it that way, it's a mystery with only one answer--the kind that comes when you finally get face-to-face and look your worst enemy in the eye.From the Hardcover edition.",['thriller']
"I, Alex Cross","You can't runDetective Alex Cross is pulled out of a family celebration and given the awful news that a beloved relative has been found brutally murdered. Alex vows to hunt down the killer, and soon learns that she was mixed up in one of Washington's wildest scenes. And she was not this killer's only victim.You can't hideThe hunt for her murderer leads Alex and his girlfriend, Detective Brianna Stone, to a place where every fantasy is possible, if you have the credentials to get in. Alex and Bree are soon facing down some very important, very protected, very dangerous people in levels of society where only one thing is certain--they will do anything to keep their secrets safe. Alex Cross is your only hope to stay aliveAs Alex closes in on the killer, he discovers evidence that points to the unimaginable--a revelation that could rock the entire world. With the unstoppable action, unforeseeable twists, and edge-of-your-seat suspense that only a James Patterson thriller delivers, I, Alex Cross is the master of suspense at his sharpest and best.",['thriller']
Caught,"From the #1 New York Times bestselling master of suspense comes a fast-paced, emotion-packed novel about guilt, grief, and our capacity to forgive17-year-old Haley McWaid is a good girl, the pride of her suburban New Jersey family, captain of the lacrosse team, headed off to college next year with all the hopes and dreams her doting parents can pin on her. Which is why, when her mother wakes one morning to find that Haley never came home the night before, and three months quickly pass without word from the girl, the community assumes the worst.Wendy Tynes is a reporter on a mission, to identify and bring down sexual predators via elaborate-and nationally televised-sting operations. Working with local police on her news program Caught in the Act, Wendy and her team have publicly shamed dozens of men by the time she encounters her latest target. Dan Mercer is a social worker known as a friend to troubled teens, but his story soon becomes more complicated than Wendy could have imagined.In a novel that challenges as much as it thrills, filled with the astonishing tension and unseen suburban machinations that have become Coben's trademark, Caught tells the story of a missing girl, the community stunned by her loss, the predator who may have taken her, and the reporter who suddenly realizes she can't trust her own instincts about this story-or the motives of the people around her.",['thriller']
High Citadel,"Isolated in the biting cold of the Andes, after their plane has been hijacked and forced to crash-land, Tim O'Hara's passengers are fighting for their lives. While one group of survivors, lead by O'Hara, attempt to cross the peaks along a deadly, snow-covered pass, the other is working to stall the armed group of soldiers who plan to kill them all once they have managed to cross a torrential river. Ingenious ideas are put into action in a dramatic attempt to prolong their survival until help arrives.",['thriller']
Motor Mouth,"Miami is still freakin' humid. The nights are even hotter. And there's a body on ice. And that's just the beginning of this adrenaline-rush of a hot-wired ride from phenomenal number one New York Times bestselling author Janet Evanovich.

A woman with a taste for speed and a talent for breaking the rules, Barney also knows a little too much about cheating. First there was Hooker and that salesclerk. Now she's convinced one of the competitors is up to no good on the track. Snooping to find evidence, Hooker and Barney ""borrow"" a NASCAR hauler. Turns out, the hauler is carrying two race cars and a dead guy. It looks like Barney and Hooker are facing multiple counts of grand theft auto and homicide.

So buckle up as Barney, Hooker, a 150-pound bundle of Saint Bernard love named Beans, and the Super Cigar Ladies Felicia and Rosa shift into gear on a wild race around South Florida and Concord, North Carolina.",['thriller']
